District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
BEIRUT,ZOUKAK BLAT,PATRIARCAT,LAGUNA MARKET,GROCERY,5,35.5007,33.8911,2
BEIRUT,RAS BEIRUT,VERDUN,VERDUN MARKET,GROCERY,6,35.4849,33.885,2
BEIRUT,MOUSAITBEH,ZARIF,SALAM MARKET,GROCERY,5,35.4923,33.8902,2
BEIRUT,ACHRAFIEH,RMEIL,Bob station tarabay,Newelneh,5,35.5122,33.895,2
BEIRUT,ACHRAFIEH,HOTEL DIEU,SAWMI MARKET,GROCERY,6,35.5166,33.882,2
BEIRUT,ACHRAFIEH,RMEIL,MINIMARKET HADDAD,GROCERY,6,35.5266,33.8873,2
BEIRUT,RMEIL,MAR MICHAEL,Teckian Market,GROCERY,6,35.524,33.8961,2
BEIRUT,SAIFI,TABARIS,DANIS SHOP,GROCERY,5,35.5074,33.8918,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,PRINCE MM,GROCERY,5,35.498,33.8763,2
BEIRUT,MAZRAA,BADARO,MICHEAL MM,GROCERY,5,35.5166,33.8746,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,HAISO MM,GROCERY,5,35.4961,33.8752,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,HALABI MM,GROCERY,6,35.4999,33.8758,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,MAKKI EKHWAN MM,GROCERY,5,35.5012,33.8847,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,ALBAN W AJBAN AL ANWAR,GROCERY,5,35.4985,33.8813,2
BEIRUT,MOUSAITBEH,MAR ELIAS,MM AL AGHAR,GROCERY,5,35.4932,33.8815,2
BEIRUT,MARFAA,BEIRUT PORT,ABU ISSA MM,Newelneh,5,35.5112,33.8982,2
BEIRUT,ACHRAFIEH,RMEIL,MAHFOZ M.M,GROCERY,5,35.5283,33.8939,2
BEIRUT,MOUSAITBEH,MAR ELIAS,SAADO TRADING SHOP,GROCERY,5,35.4938,33.8843,2
BEIRUT,MAZRAA,BADARO,WADIH NOHRA MM,GROCERY,5,35.5149,33.874,2
BEIRUT,ACHRAFIEH,SODECO,HIBOU - SODECO,GROCERY,5,35.5102,33.8844,2
BEIRUT,RAS BEIRUT,AIN MREISSEH,MOUKADAM MM,GROCERY,5,35.4904,33.9,2
BEIRUT,RAS BEIRUT,HAMRA,CITY MARKET,GROCERY,5,35.4814,33.897,2
BEIRUT,MAZRAA,RAS EL NABAA,T CAFÉ,Newelneh,5,35.5068,33.8841,2
BEIRUT,MAZRAA,NWEIRI,KHAFAJA (Reine MM),GROCERY,6,35.5015,33.882,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,AM PM - BORJ ABOU HAIDAR,GROCERY,5,35.4978,33.8814,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,AHMAD ALI,GROCERY,5,35.4998,33.876,2
BEIRUT,MAZRAA,TARIQ EL JDIDE,ADNAN NASSIR,GROCERY,5,35.4963,33.8784,2
BEIRUT,ACHRAFIEH,RMEIL,BUNNY MARKET,GROCERY,5,35.5267,33.8888,2
BEIRUT,MOUSAITBEH,ZARIF,CAFÉ FAYEZ,GROCERY,5,35.4901,33.8899,2
BEIRUT,MOUSAITBEH,MAR ELIAS,AHMAD SROUR,GROCERY,5,35.4931,33.8883,2
BEIRUT,MARFAA,MAJIDIYEH,D2D Mart,GROCERY,4,35.5058,33.8979,2
BEIRUT,MOUSAITBEH,MAR ELIAS,BASSAM MARKET,GROCERY,4,35.4946,33.8818,2
BEIRUT,MAZRAA,BOURJ ABOU HAYDAR,BADRAN,GROCERY,6,35.4992,33.8872,2
BEIRUT,RAS BEIRUT,HAMRA,HAMRA JUICE,GROCERY,6,35.4831,33.8954,2
BEIRUT,RAS BEIRUT,HAMRA,AM PM - GHANDI ST,GROCERY,5,35.4783,33.8967,2
BEIRUT,ACHRAFIEH,SIOUFI,GRAB N GO - SIOUFI,GROCERY,5,35.525,33.8845,2
