District,Region,Area,outletname,OUTLET TYPE,VC,longitude,latitude,vf
MOUNT LEBANON,METN,NABAA,Bassim Market,GROCERY,5,35.5372,33.8851,2
MOUNT LEBANON,SHOUF,KETERMEYA,MALAK SM,GROCERY,5,35.4515,33.6155,2
MOUNT LEBANON,SHOUF,JIYEH,Abo Rafeaa,GROCERY,4,35.423,33.6754,2
BECAA,ZAHLE,Zahleh Rural,SM MOUSSAED,GROCERY,4,35.951,33.8621,2
BECAA,ZAHLE,Zahleh Rural,ABOU FARAH,GROCERY,5,35.8269,33.7999,2
BECAA,ZAHLE,Zahleh Rural,BEKAA SHOPPING CENTER,GROCERY,5,35.8238,33.7962,2
MOUNT LEBANON,ALEY,AARAMOUN,AARAMOUN CENTER,GROCERY,4,35.5114,33.7634,2
MOUNT LEBANON,ALEY,ALEY,ABO TAREK,GROCERY,4,35.6006,33.8028,2
MOUNT LEBANON,SHOUF,DAMOUR,M.M HATEM,GROCERY,5,35.4498,33.7069,2
MOUNT LEBANON,ALEY,KABER SHMOUN,Wehbe Sm,GROCERY,4,35.5409,33.7531,2
MOUNT LEBANON,ALEY,KHALDE,EXPRESSE AL JEMAA,Newelneh,5,35.475,33.7827,2
MOUNT LEBANON,ALEY,KHALDE,ABO TAREK,GROCERY,6,35.4734,33.7757,2
MOUNT LEBANON,ALEY,KHALDE,ABO RAFEAA JIHAD,Newelneh,5,35.4675,33.7697,2
MOUNT LEBANON,DAHYEH,BOURJ EL BARAJNEH,KHREIS MKT,GROCERY,5,35.5137,33.8394,2
MOUNT LEBANON,ALEY,CHOUEIFAT,SHOP SMART,Super Market,5,35.506,33.8041,2
MOUNT LEBANON,ALEY,CHOUEIFAT,SM FTOUNI,GROCERY,6,35.5273,33.8219,2
MOUNT LEBANON,DAHYEH,HARET HREIK,AL DOHA MARKET,GROCERY,5,35.5113,33.8548,2
MOUNT LEBANON,DAHYEH,LAYLAKI,AL MADINA SM,GROCERY,4,35.517,33.8313,2
